PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2020-0001,01/01/2020,FOB - Field Operations Bureau,Police Recruits,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,,,Firearm (Exhibited),L1,Unknown,Yes,White,Male,27,3,1 feet to 3 feet,Male,Black,45,Small,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No
FTN2020-0002,01/01/2020,FOB - Field Operations Bureau,Alternative Police Response,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,Unknown,Yes | Yes | Yes,White | Black | Black,Male | Male | Female,46 | 50 | 30,16 | 25 | 7,0 feet to 1 feet,Male,Black,57,Small,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2020-0008,01/06/2020,FOB - Field Operations Bureau,8th District,D.I.U.,Persons,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,,,Firearm (Exhibited),L1,,Yes,White,Male,47,3,,Male,Black,,,,No,No,Yes,,Other,No
FTN2020-0010,01/06/2020,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Other,,,Firearm (Exhibited) | Takedown (no injury),L1 | L1,,Yes | Yes,Black | Black,Male | Male,42 | 42,13 | 13,,Male,Black,24,,,Yes,Yes,Yes,,Weapon Exhibited,No | No
FTN2020-0005,01/07/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,,,Hands,L1,Unknown,Yes,Asian/Pacifi,Male,26,4,0 feet to 1 feet,Male,Black,57,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2020-0007,01/07/2020,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,,,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,White | White,Male | Male,29 | 31,5 | 4,1 feet to 3 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No | No
FTN2020-0009,01/09/2020,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1, | Unknown | ,Yes,Black,Male,27,3, | 15 feet to 18 feet | ,Male | Male | Female,Black | Black | Black,56 | 56 | 39,,,No | No | No,No | No | No,Yes | Yes | Yes,,Tactical Deployments,No
FTN2020-0009,01/09/2020,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,,,Firearm (Exhibited),L1, | Unknown | ,Yes,Black,Male,27,3, | 15 feet to 18 feet | ,Male | Male | Female,Black | Black | Black,56 | 56 | 39,,,No | No | No,No | No | No,Yes | Yes | Yes,,Tactical Deployments,No
FTN2020-0011,01/11/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Other,,,Takedown (no injury),L1,,Yes,Hispanic,Male,26,4,,Male,Black,25,,,No,No,Yes,,Other,No
FTN2020-0014,01/13/2020,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Regular Working,Between 7am-3pm,Completed,UOF Complaint of Injury/No Reportable Force Used,Other,Good,Clear Conditions,Canine (Bite),L4,Unknown,Yes,White,Male,52,29,0 feet to 1 feet,Male,White,66,Medium,5'7'' to 5'9'',Yes,No,No,,Tactical Deployments,No
FTN2020-0015,01/13/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,CEW Deployment,L2,Unknown,Yes,White,Male,37,13,4 feet to 6 feet,Male,Black,26,Small,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2020-0013,01/13/2020,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,Black,Male,48,0,0 feet to 1 feet,Male,Black,20,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2020-0016,01/15/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown | Unknown,Yes,White,Male,29,5,7 feet to 10 feet | 7 feet to 10 feet,Male | Male,Black | White,42 | 24,Medium | Medium,6'1'' to 6'3'' | 6'1'' to 6'3'',No | No,No | No,Yes | Yes,,Weapon Exhibited,No
FTN2020-0018,01/17/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Hispanic,Male,27,4,,Male,Black,,,,No,No,No,,Tactical Deployments,No
FTN2020-0017,01/17/2020,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,CEW Deployment,L2,None detected,No,White,Male,32,4,4 feet to 6 feet,Male,Black,18,Small,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No
FTN2020-0019,01/18/2020,FOB - Field Operations Bureau,6th District,Narcotics,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,Unknown,No | No,White | Black,Male | Male,33 | 43,6 | 21,1 feet to 3 feet,Female,Black,24,,,No,No,Yes,,Battery on Police Officer,No | No
FTN2020-0020,01/19/2020,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Unknown Working Status,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,31,3,4 feet to 6 feet,Male,Black,24,Medium,5'10'' to 6'0'',No,No,No,,Flight from an Officer,No
FTN2020-0021,01/20/2020,ISB - Investigative Services Bureau,Alternative Police Response,Juvenile Section,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Escort Tech) | Force (Escort Tech) | Force (Escort Tech) | Takedown (no injury),L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes,Black | Black | Black | Black,Male | Male | Female | Male,42 | 49 | 53 | 49,13 | 14 | 27 | 24,0 feet to 1 feet,Male,Black,17,,,No,Yes,Yes,,Flight from an Officer,No | No | No | No
FTN2020-0036,01/20/2020,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,28,2,11 feet to 14 feet,Male,Black,26,Small,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2020-0022,01/21/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown | Unknown,Yes,White,Male,37,13,4 feet to 6 feet | 4 feet to 6 feet,Male | Male,Black | Black,33 | 37,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,refuse verbal commands,No
FTN2020-0023,01/22/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,White,Male,26,5,0 feet to 1 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,Yes,Yes,,Battery on Police Officer,No
FTN2020-0025,01/23/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Hands | CEW Deployment | Hands | Takedown (no injury) | Hands | Takedown (no injury) | Takedown (no injury),L1 | L2 | L1 | L1 | L1 | L1 | L1,Alchohol,No | Yes | No | Yes | Yes | Yes | Yes,White | Black | Black | Black | White | White | White,Male | Male | Male | Male | Male | Male | Male,35 | 44 | 50 | 50 | 58 | 58 | 29,13 | 16 | 23 | 23 | 24 | 24 | 2,1 feet to 3 feet,Male,Black,29,XLarge,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No | No | No | No | No
FTN2020-0024,01/23/2020,FOB - Field Operations Bureau,2nd District,B Platoon,patrol,Unknown Working Status,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,White,Male,46,3,0 feet to 1 feet,Male,Black,52,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2020-0028,01/25/2020,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,CEW Deployment,L2,None detected,Limited,White,Male,28,5,0 feet to 1 feet,Male,Black,20,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Battery on Police Officer,Yes
FTN2020-0027,01/25/2020,FOB - Field Operations Bureau,8th District,Staff,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Escort Tech) | Force (Escort Tech),L1 | L1,Unknown,Yes | Yes,White | White,Male | Male,36 | 58,12 | 24,0 feet to 1 feet,Male,White,54,Large,5'7'' to 5'9'',Yes,No,No,,Resisting Lawful Arrest,No | No
FTN2020-0029,01/26/2020,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,None detected,Yes | No | Yes,Black | Black | White,Female | Male | Male,38 | 48 | 51,13 | 20 | 16,4 feet to 6 feet,Male,Black,15,Medium,5'4'' to 5'6'',No,No,Yes,,Flight from an Officer,No | No | No
FTN2020-0029,01/26/2020,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,None detected,Yes | No | Yes,Black | Black | White,Female | Male | Male,38 | 48 | 51,13 | 20 | 16,4 feet to 6 feet,Male,Black,15,Medium,5'4'' to 5'6'',No,No,Yes,,Flight from an Officer,No | No | No
FTN2020-0032,01/30/2020,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,uof,Call for Service,,,Firearm (Exhibited),L1,,Yes,Black,Male,28,2,,Male,Black,26,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2020-0034,01/31/2020,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Unknown Working Status,Between 3pm-11pm,Completed,UOF Justified With Training,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,White,Female,25,2,15 feet to 18 feet,Male,Black,,,,No,No,No,,refuse verbal commands,No
FTN2020-0035,02/03/2020,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Not Justified,Call for Service,Good,Clear Conditions,CEW,L4,Unknown,Yes,White,Male,46,16,1 feet to 3 feet,Male,Black,27,Medium,5'10'' to 6'0'',Yes,No,Yes,,Battery on Police Officer,No
FTN2020-0033,02/03/2020,FOB - Field Operations Bureau,8th District,Narcotics,,Regular Working,Between 7am-3pm,Completed,UOF Justified With Policy Violation,Arresting,Poor,Clear Conditions,Head Strike (No Wep) | Takedown (no injury) | Takedown (no injury),L3 | L1 | L1,Unknown,Yes | Yes | Yes,White | White | White,Male | Male | Male,30 | 25 | ,7 | 4 | 4,0 feet to 1 feet,Male,Black,25,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,refuse verbal commands,No | No | No
FTN2020-0037,02/04/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | CEW Deployment | Force (Escort Tech) | Firearm (Exhibited),L1 | L2 | L1 | L1,Unknown,No | Yes | No | No,Black | Black | White | Black,Male | Male | Male | Male,37 | 37 | 27 | 23,4 | 4 | 4 | 3,11 feet to 14 feet,Male,Black,18,Small,5'4'' to 5'6'',No,Yes,Yes,,Flight from an Officer,No | No | No | No
ftn2020-0038,02/05/2020,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,Black,Female,43,17,15 feet to 18 feet,Male,Black,40,Large,6'1'' to 6'3'',No,No,Yes,,Flight from an Officer,No
FTN2020-0040,02/05/2020,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,White,Male,27,6,0 feet to 1 feet,Male,Black,63,Medium,5'10'' to 6'0'',No,Yes,Yes,,Flight from an Officer,No
FTN2020-0041,02/09/2020,FOB - Field Operations Bureau,Police Recruits,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Mentally unstable,Yes,White,Male,28,4,7 feet to 10 feet,Male,Hispanic,36,Large,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No
FTN2020-0042,02/09/2020,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,44 | 33,6 | 7,11 feet to 14 feet,Male,Black,16,XLarge,5'7'' to 5'9'',No,No,No,,Flight from an Officer,No | No
FTN2020-0043,02/10/2020,FOB - Field Operations Bureau,2nd District,D.I.U.,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,No | No,White | White,Male | Female,36 | 31,7 | 5,11 feet to 14 feet,Male,Black,,,,No,No,No,,refuse verbal commands,No | No
FTN2020-0044,02/10/2020,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury),L2,Unknown,Yes,White,Female,30,2,0 feet to 1 feet,Female,Black,47,Large,5'7'' to 5'9'',Yes,No,Yes,,Battery on Police Officer,No
FTN2020-0045,02/12/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Hands | Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes | Yes,White | White | Black | Black | White,Male | Male | Male | Female | Male,35 | 37 | 38 | 43 | 26,13 | 16 | 20 | 21 | 3,0 feet to 1 feet,Male,Black,29,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No | No | No | No | No
FTN2020-0047,02/14/2020,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Unknown,Yes,Black,Male,30,5,7 feet to 10 feet,Male,Black,22,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,No
FTN2020-0048,02/15/2020,FOB - Field Operations Bureau,Alternative Police Response,A Platoon,Narcotics,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Hands,L1 | L1,Unknown,Yes | Yes,White | Black,Male | Female,46 | 30,16 | 7,0 feet to 1 feet,Male,Black,34,Medium,5'10'' to 6'0'',No,No,Yes,,Battery on Police Officer,Yes | Yes
FTN2020-0049,02/15/2020,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | CEW Deployment | Firearm (Exhibited) | Hands | Firearm (Exhibited),L1 | L2 | L1 | L1 | L1,Unknown,No | No | No | Yes | No,White | White | White | White | Hispanic,Male | Male | Male | Male | Male,54 | 54 | 28 | 28 | 28,33 | 33 | 5 | 5 | 4,0 feet to 1 feet,Male,Black,22,Large,5'10'' to 6'0'',No,No,No,,Flight from an Officer,No | No | No | No | No
FTN2020-0050,02/19/2020,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,,Arresting,Good,Clear Conditions,Head Strike (No Wep) | Takedown (no injury),L3 | L1,Unknown,Yes | Yes,White | White,Male | Male,42 | 28,16 | 5,0 feet to 1 feet,Male,Black,21,Small,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No | Yes
ftn2020-0051,02/19/2020,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Takedown (no injury),L1 | L1,Unknown,Yes | Yes,Black | Black,Male | Male,37 | 37,4 | 4,11 feet to 14 feet,Male,Black,26,Small,5'0'' to 5'3'',No,No,Yes,,Weapon Exhibited,No | No
FTN2020-0052,02/19/2020,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,Unknown,Yes | Yes | Yes,White | Black | White,Male | Male | Male,47 | 46 | 42,3 | 17 | 6,0 feet to 1 feet,Male,Black,30,Small,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No | No | No
FTN2020-0053,02/20/2020,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (w/injury) | Hands,L2 | L1,Alchohol,Yes | Yes,White | White,Male | Male,36 | 49,12 | 2,0 feet to 1 feet,Male,White,0,Small,5'7'' to 5'9'',Yes,No,Yes,,refuse verbal commands,No | No
FTN2020-0056,02/21/2020,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Not Justified,Traffic Stop,Poor,Clear Conditions,CEW Deployment | Force (Defense Tech) | Head Strike (No Wep) | Force (Neck Holds) | Firearm (Exhibited),L2 | L2 | L3 | L4 | L1,Unknown,Limited | Yes | No | No | No,White | White | White | White | Black,Male | Male | Male | Male | Female,27 | 27 | 27 | 27 | 32,4 | 4 | 4 | 4 | 4,0 feet to 1 feet,Male,Black,34,Medium,5'10'' to 6'0'',No,Yes,Yes,,refuse verbal commands,No | No | No | No | No
FTN2020-0054,02/21/2020,FOB - Field Operations Bureau,4th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,Unknown,Yes | Yes,Black | Black,Male | Male,25 | 33,5 | 4,0 feet to 1 feet,Male,Black,22,Large,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,No | No
FTN2020-0055,02/21/2020,FOB - Field Operations Bureau,4th District,b,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,CEW Exhibited/Laser,L1,Unknown,Yes,White,Male,27,4,7 feet to 10 feet,Male,Black,17,Medium,5'10'' to 6'0'',No,Yes,Yes,,Battery on Police Officer,No
FTN2020-0057,02/22/2020,ISB - Investigations and Support Bureau,Special Investigations Division,Narcotics Section,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Takedown (no injury) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Unknown | Unknown,Yes | Yes | Yes,White | White | Hispanic,Male | Male | Male,54 | 55 | 46,14 | 30 | 23,4 feet to 6 feet | 4 feet to 6 feet,Male | Female,Black | Black,28 | 45,Small | Small,5'0'' to 5'3'' | 5'0'' to 5'3'',No | No,No | No,Yes | Yes,,refuse verbal commands,No | No | No
FTN2020-0058,02/22/2020,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Takedown (no injury),L1,Alchohol,Yes,White,Male,41,14,0 feet to 1 feet,Male,Black,28,Large,> 6'3'',No,No,Yes,,Battery on Police Officer,No
FTN2020-0059,02/23/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Defense Tech),L2,Unknown,Yes,White,Male,45,12,0 feet to 1 feet,Male,Black,,Medium,5'7'' to 5'9'',Yes,No,Yes,,refuse verbal commands,No
FTN2020-0060,02/24/2020,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Alchohol,Yes | Yes,Black | Black,Female | Male,59 | 45,6 | 18,4 feet to 6 feet,Male,Black,40,,,No,No,No,,refuse verbal commands,No | No
FTN2020-0061,02/24/2020,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 3pm-11pm,Completed,,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,37 | 39,2 | 4,7 feet to 10 feet,Male,Black,34,Large,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No | No
FTN2020-0064,02/25/2020,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 3pm-11pm,Completed,UOF Not Justified,Call for Service,Good,Clear Conditions,Hands | Hands | Force (Neck Holds),L1 | L1 | L4,Unknown,No | No | No,Black | Black | Black,Female | Male | Male,43 | 29 | 29,17 | 2 | 2,0 feet to 1 feet,Male,White,22,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No | No | No
FTN2020-0062,02/25/2020,ISB - Investigations and Support Bureau,Special Investigations Division,Narcotics Section,,Paid Detail,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Head Strike (No Wep),L3,Unknown,Yes,Black,Male,38,13,0 feet to 1 feet,Male,Asian,39,Large,5'10'' to 6'0'',No,No,Yes,,Battery on Police Officer,Yes
FTN2020-0063,02/25/2020,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,Unknown | Unknown,Yes,White,Male,27,6,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Hispanic | Black,36 | 31,XLarge | XLarge,6'1'' to 6'3'' | 6'1'' to 6'3'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No
FTN2020-0065,03/01/2020,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,CEW Deployment,L2,Unknown | Unknown,Yes,Hispanic,Male,28,4,7 feet to 10 feet | 7 feet to 10 feet,Male | Male,Black | Black,40 | 36,Small | Small,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,Flight from an Officer,No
FTN2020-0066,03/02/2020,FOB - Field Operations Bureau,6th District,D.I.U.,Property,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (w/injury),L2,Unknown,Yes,White,Male,49,24,0 feet to 1 feet,Female,Black,43,Large,5'4'' to 5'6'',Yes,No,Yes,,Flight from an Officer,No
FTN2020-0039,03/03/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Rifle (Pointed),L1,,Yes,White,Male,40,18,,Male,Black,21,,,No,No,Yes,,Tactical Deployments,No
FTN2020-0067,03/03/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | CEW Deployment,L1 | L2,Unknown,Yes | Yes,White | Hispanic,Male | Male,31 | 38,4 | 3,7 feet to 10 feet,Male,Black,47,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,No | No
FTN2020-0068,03/04/2020,FOB - Field Operations Bureau,5th District,B Platoon,patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Light,Canine (No Bite) | Firearm (Exhibited) | Firearm (Exhibited),L2 | L1 | L1,Unknown,Yes | Yes | No,White | Black | White,Male | Male | Male,52 | 39 | 39,29 | 9 | 5,1 feet to 3 feet,Male,Black,27,Small,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,No | No | No
FTN2020-0069,03/05/2020,FOB - Field Operations Bureau,5th District,K9 Section,,Regular Working,,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Canine (No Bite),L1 | L2,Unknown,Yes | Yes,White | Black,Male | Male,42 | 49,14 | 20,15 feet to 18 feet,Male,Black,14,Small,5'7'' to 5'9'',No,Yes,Yes,,Flight from an Officer,No | No
FTN2020-0070,03/05/2020,FOB - Field Operations Bureau,1st District,D.I.U.,Property,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,Black,Male,37,13,0 feet to 1 feet,Male,Black,46,Large,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2020-0075,03/11/2020,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Hands | Force (Defense Tech) | Hands | Hands,L1 | L2 | L1 | L1,Unknown,Yes | Yes | Yes | Yes,Black | Black | White | White,Male | Male | Male | Male,39 | 39 | 37 | 32,0 | 0 | 5 | 4,0 feet to 1 feet,Male,Black,26,Medium,5'7'' to 5'9'',Yes,No,Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2020-0079,03/12/2020,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,White,Male,28,5,0 feet to 1 feet,Female,Black,28,Small,5'4'' to 5'6'',No,No,No,,refuse verbal commands,No
FTN2020-0083,03/15/2020,FOB - Field Operations Bureau,1st District,,,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW,L4,Mentally unstable,Yes,White,Male,25,3,7 feet to 10 feet,Male,White,32,Small,5'7'' to 5'9'',No,Yes,No,,Resisting Officer w/Weapon,No
